Tipo de Carta,Nombre de Carta,Texto de la Carta,Tipo de Magia,Tipo de Trampa,Tipo de Monstruo,Atributo,Nivel/Rango/Escala/Enlace,ATK,DEF,Fecha de Publicación de la Carta,Rareza,Método de Obtención
Monstruo,Sirena Toon,"No puede ser Invocado de Modo Normal, ni Colocado. No puede ser Invocado de Modo Especial a menos que controles un ""Mundo Toon"" boca arriba. Debe ser primero Invocado de Modo Especial (desde tu mano) Sacrificando la misma cantidad de monstruos necesarios para una Invocacion por Sacrificio (normalmento 0). Esta carta no puede atacar en el turno en el que es Invocada de Modo Especial. Debes pagar 500 Life Points para declarar un ataque con este monstruo. Si ""Mundo Toon"" en el Campo es destruido, destruye esta carta. Esta carta puede atacar a tu adversario directamente, a menos que este controle un Monstruo Toon. Si lo hace, esta carta debe seleccionar a un Monstruo Toon para sus ataques.",#,#,Aqua/Toon,Agua,4,1400,1500,11/01/2017,SR,Gratis
Monstruo,Dragon de Barriles Gemelos,"Cuando esta carta es Invocada: selecciona 1 carta que controle tu adversario; lanza dos veces una moneda y si el resultado son 2 Caras, destruye la carta seleccionada.",#,#,Maquina,Oscuridad,4,1700,200,29/01/2017,UR,Gratis
Monstruo,Senju de las Mil Manos,Cuando esta carta es Invocada de Modo Normal o por Volteo: puedes añadir a tu mano 1 Monstruo de Ritual en tu Deck.,#,#,Hada,Luz,4,1400,1000,17/01/2017,UR,Caja Grande
Monstruo,Genio Pronosticador de Rituales,"Cuando Invocas un monstruo por Ritual, puedes desterrar esta carta en tu Cementerio como 1 de los monstruos requeridos para la Invocacion por Ritual. Si un jugador Invoca por Ritual usando esta carta, si ese monstruo Invocado por Ritual inflige daño de batalla al otro jugador, el se descarta 1 carta. ",#,#,Demonio,Oscuridad,3,400,300,17/01/2017,SR,Caja Grande
Monstruo,Genio Escudo de Rituales,"Cuando Invocas un monstruo por Ritual, puedes desterrar esta carta en tu Cementerio como 1 de los monstruos requeridos para la Invocacion por Ritual. El monstruo Invocado por Ritual usando esta carta no es afectado por efectos de Trampas",#,#,Demonio,Oscuridad,1,200,200,17/01/2017,SR,Caja Grande
Monstruo,Mercader Magico,"VOLTEO: Excava cartas de la parte superior de tu Deck hasta que excaves una Carta Magica/ de Trampa. Añade esa carta a tu mano, y ademas manda al Cementerio las demas cartas.",#,#,Insecto/Volteo,Luz,1,200,700,17/01/2017,N,Caja Grande
Monstruo,Tenkabito Shien,Esta carta no es afectada por los efectos de Cartas de Trampa,#,#,Piro,Fuego,4,1500,1000,29/01/2017,R,Gratis
Monstruo,Legion del Bufon Demoniaco,"Durante tu Main Phase, puedes Invocar por Sacrificio 1 monstruo de Tipo Lanzador de Conjuros en Posicion de Ataque boca arriba, ademas de tu Invocacion Normal/Colocada. (Solo puedes ganar este efecto una vez por turno). Si esta carta es mandada al Cementerio desde el Campo: puedes añadir a tu mano 1 Monstruo Normal de Tipo Lanzador de Conjuros en tu Deck o Cementerio. Solo puedes usar este efecto de ""Legion del Bufon Demoniaco"" una vez por turno.",#,#,Lanzador de Conjuros,Oscuridad,4,1300,1500,03/02/2017,SR,Caja Mini
Monstruo,Sargento Electro,"Una vez por turno: puedes seleccionar 1 carta boca abajo en la Zona de Cartas Magicas y de Trampa de tu adversario; mientras esta carta este boca arriba en el Campo, sus objetivos no pueden ser activados.",#,#,Maquina,Fuego,4,1600,1300,03/02/2017,SR,Caja Mini
Monstruo,Gusano Ardiente,"Si esta carta es destruida, manda al Cementerio a las 3 cartas de la parte superior del Deck de tu adversario.",#,#,Insecto,Fuego,3,600,1400,03/02/2017,SR,Caja Mini
Monstruo,Espadachina Amazoness,Tu adversario recibe todo el daño de batalla que fueras a recibir tu de batallas que involucren a esta carta,#,#,Guerrero,Tierra,4,1500,1600,11/01/2017,SR,Gratis
Monstruo,Pumprincess la Princesa de los Fantasmas,"Si esta carta boca arriba es destruida mientras esta en una Zona de Monstruos, puedes ponerla boca arriba en tu Zona de Magia y Trampas como una Carta Magica Continua en lugar de mandarla al Cementerio. Mientras esta carta sea tratada como una Carta Magica Continua por este efecto, durante la Standby Phase de cada jugador: pon 1 Contador Calabaza en esta carta. Todos los monstruos que controle tu adversario pierden 100 ATK y DEF por cada Contador Calabaza en esta carta.",Continua,#,Zombi,Oscuridad,3,900,1000,28/02/2017,SR,Caja Grande
Monstruo,Explorador Sombrio de Hiro,"VOLTEO: Tu adversario roba 3 cartas. Ambos jugadores miran las cartas. Si hay cualquier Carta Magica entre ellas, descarta todas esas Cartas Magicas al Cementerio.",#,#,Demonio,Oscuridad,2,650,500,28/02/2017,R,Caja Grande
Monstruo,Cuervo Ritual,"Si Invocas por Ritual a un Monstruo de Ritual de OSCURIDAD, esta carta puede ser usada como todo el Sacrificio necesario.",#,#,Demonio,Oscuridad,1,300,300,28/02/2017,R,Caja Grande
Monstruo,Conejo Blanco Inaba,Esta carta no puede ser Invocada mediante una Invocacion especial. Esta carta vuelve a la mano de su propietario durante la End Phase del turno en el que esta carta es Invocada mediante una Invocacion Normal o volteada boca arriba. Esta carta ataca los Life Points de tu adversario directamente.,#,#,Bestia/Spirit,Tierra,3,700,500,28/02/2017,N,Caja Grande
Monstruo,Craneo Convocado,#,#,#,Demonio,Oscuridad,7,2500,1200,17/03/2017,SR,Caja Mini
Monstruo,Necrofear Oscuro,"No puede ser Invocado de Modo Normal/Colocado. Debe ser primero Invocado de Modo Especial (desde tu mano) desterrando 3 monstruos de Tipo Demonio en tu Cementerio. Durante la End Phase, si esta carta esta en el Cementerio por que fue destruida este turno por una carta de tu adversario (ya sea en batalla o por un efecto de carta) y mandada a tu Cementerio mientras era una Carta de Monstruo bajo tu control: selecciona 1 monstruo boca arriba que controle tu adversario; equipa esta carta a ese objetivo. Mientras esta carta esta equipada a un monstruo por este efecto, toma el control de ese monstruo.",#,#,Demonio,Oscuridad,8,2200,2800,11/01/2017,UR,Gratis
Monstruo,Goblin Zombi,"Cuando esta carta inflige daño de batalla a tu adversario: manda al Cementerio la carta superior de su Deck. Cuando esta carta es mandada al Cementerio desde el Campo: añade a tu mano, desde tu Deck, 1 monstruo de Tipo Zombi con 1200 DEF o menos.",#,#,Zombi,Oscuridad,4,1100,1050,11/01/2017,SR,Gratis
Monstruo,Soldado del Brillo Negro,#,#,#,Guerrero/Ritual,Tierra,8,3000,2500,12/04/2017,UR,Caja Grande
Monstruo,Rey Marioneta,"Cuando tu adversario añade una(s) Carta(s) de Monstruo a su mano, excepto si la roba, puedes Invocar esta carta de Modo Especial, desde tu mano. Si lo haces, destruyela durante la End Phase de tu siguiente turno.",#,#,Guerrero,Tierra,7,2800,2600,12/04/2017,R,Caja Grande
Monstruo,Bebecerasaurio,"Si esta carta es destruida por efecto de una carta y mandada al Cementerio: Invoca de Modo Especial, desde tu Deck, 1 monstruo de Tipo Dinosaurio de Nivel 4 o menor.",#,#,Dinosaurio,Tierra,2,500,500,12/04/2017,R,Caja Grande
Monstruo,Pathfinder Planetario,Puedes Sacrificar esta carta; añade a tu mano 1 Carta Magica de Campo en tu Deck.,#,#,Maquina,Tierra,4,1000,1000,12/04/2017,N,Caja Grande
Monstruo,Chica Maga Oscura Toon,"No puede ser Invocada de Modo Normal/Colocado. Debe ser primero Invocada de Modo Especial (desde tu mano) Sacrificando 1 monstruo mientras controles ""Mundo Toon"". Si ""Mundo Toon"" en el Campo es destruido, destruye esta carta. Puede atacar a tu adversario directamente, a menos que este controle un monstruo Toon, en cuyo caso esta carta debe seleccionar a un monstruo Toon para sus ataques. Esta carta gana 300 ATK por cada ""Mago Oscuro"" o ""Mago del Caos Negro"" en el Cementerio de cualquier jugador.",#,#,Lanzador de Conjuros/Toon,Oscuridad,6,2000,1700,20/04/2017,SR,Gratis
Monstruo,Delta el Guerrero Magnetico,"Si esta carta es Invocada de Modo Normal o Especial: puedes mandar al Cementerio 1 monstruo ""Guerrero Magnetico"" de Nivel 4 o menor en tu Deck. Si esta carta es mandada al Cementerio: puedes desterrar de tu Cementerio 3 monstruos ""Guerrero Magnetico"" de Nivel 4 o menor, excepto ""Delta el Guerrero Magnetico""; Invoca de Modo Especial, desde tu mano o Deck, 1 ""Valkyrion el Guerrero Magno"", ignorando sus condiciones de Invocacion. Solo puedes usar cada efecto de ""Delta el Guerrero Magnetico""",#,#,Roca,Tierra,4,1600,1400,29/01/2017,UR,Gratis
Monstruo,Valkyrion el Guerrero Magno,"No puede ser Invocado de Modo Normal/Colocado. Debe ser primero Invocado de Modo Especial (desde tu mano) Sacrificando 1 ""Alfa el Guerrero Magnetico"", ""Beta el Guerrero Magnetico"" y ""Gamma el Guerrero Magnetico"" en tu mano y/o Campo. Puedes Sacrificar esta carta, y despues seleccionar 1 ""Alfa el Guerrero Magnetico"", ""Beta el Guerrero Magnetico"" y ""Gamma el Guerrero Magnetico"" en tu Cementerio; Invocalos de Modo Especial.",#,#,Roca,Tierra,8,3500,3850,11/01/2017,UR,Gratis
Monstruo,Perromaldito Octhros,"Si esta carta es mandada del Campo al Cementerio: añade a tu mano 1 monstruo de Tipo Demonio de Nivel 8 en tu Deck. Solo puedes usar este efecto de ""Perromaldito Octhros"" una vez por turno.",#,#,Demonio,Oscuridad,3,800,800,11/01/2017,R,Gratis
Monstruo,Gozuki,"Durante tu Main Phase: puedes mandar al Cementerio 1 monstruo de Tipo Zombi en tu Deck. Si esta carta es mandada al Cementerio: puedes desterrar 1 monstruo de Tipo Zombi en tu Cementerio, excepto ""Gozuki""; Invoca de Modo Especial, desde tu mano, 1 monstruo de Tipo Zombi. Solo puedes usar cada efecto de ""Gosuki"" una vez por turno.",#,#,Zombi,Tierra,4,1700,800,13/06/2017,UR,Caja Grande
Monstruo,Güiverno de Ojos Rojos,"Durante tu End Phase, si este turno no Invocaste de Modo Normal/Colocaste ningun monstruo: puedes desterrar esta carta en tu Cementerio; Ubvica de Nidi Esoecuakm desde tu Cementerio, 1 monstruo ""Ojos Rojos"", excepto ""Cria B. de Ojos Rojos"".",#,#,Dragon,Viento,4,1800,1600,13/06/2017,UR,Caja Grande
Monstruo,Dragon Zombi de Ojos Rojos,Puedes Invocar por Sacrificio esta carta en Posicion de Ataque boca arriba Sacrificando 1 monstruo de Tipo Zombi. Cuando esta carta destruye un monstruo de Tipo Zombi en batalla y lo manda al Cementerio: puedes Invocar ese monstruo de Modo Especial a tu lado del Campo.,#,#,Zombi,Oscuridad,7,2400,2000,13/06/2017,SR,Caja Grande
Monstruo,Buster Blader,Esta carta gana 500 ATK por cada monstruo de Tipo Dragon que controle tu adversario o que este en su Cementerio.,#,#,Guerrero,Tierra,7,2600,2300,13/06/2017,R,Caja Grande
Monstruo,Paladina Amazoness,"Esta carta gana 100 ATK por cada monstruo ""Amazoness"" que controles.",#,#,Guerrero,Tierra,4,1700,300,11/01/2017,UR,Gratis
Monstruo,Dragon Kidmodo,"Si esta carta es mandada al Cementerio: puedes Invocar de Modo Especial, desde tu mano, 1 monstruo de Tipo Dragon. El turno que activas este efecto no puedes Invocar monstruos de Modo Especial, excepto monstruos de Tipo Dragon, ni realizar tu Battle Phase. Solo puedes usar este efecto de ""Dragon Kidmodo"" una vez por turno.",#,#,Dragon,Tierra,3,100,200,11/01/2017,SR,Gratis
Monstruo,Dragon Explosivo,Si esta carta es destruida en batalla y mandada al Cementerio: destruye al monstruo que la destruyo. Ningun jugador recibe daño de batalla de ataques que involucren a esta carta atacante.,#,#,Dragon,Tierra,3,1000,0,04/07/2017,R,Estructura
Monstruo,Llama Quimerica Esfynge,"Tu adversario no puede seleccionar esta carta con efectos de cartas. Puedes declarar 1 tipo de carta (Monstruo, Magica o de Trampa); manda al Cementerio la carta en la parte superior de tu Deck y despues, si era del tipo de carta declarado, puedes Invocar de Modo Especial, desde tu mano o Cementerio, 1 monstruo de Fuego. Solo puedes usar este efecto de ""Llama Quimerica Esfynge"" una vez por tuno.",#,#,Guerrero-Bestia,Fuego,6,1900,1900,29/01/2017,R,Gratis
Monstruo,Fenix Sagrado de Nephtys,Durante tu proxima Standby Phase despues de que esta carta fue destruida por el efecto de una carta y mandada al Cementerio: Invoca esta carta de Modo Especial desde el Cementerio. Cuando lo haces: destruye todas las cartas Magicas y de Trampa en el Campo.,#,#,Bestia Alada,Fuego,8,2400,1600,11/07/2017,UR,Caja Mini
Monstruo,Caballero Pesado de la Llama,"Esta carta se trata como un Monstruo Normal mientras este boca arriba en el Campo o en el Cementerio. Mientras esta carta sea un Monstruo Normal en el Campo, puedes Invocarla de Modo Normal para que se convierta en un Monstruo de Efecto con este efecto. -Al comienzo del Damage Step, si esta carta ataco a un monstruo Invocado de Modo Especial: puedes desterrar ese monstruo.",#,#,Zombi/Geminis,Fuego,4,1800,200,11/07/2017,SR,Caja Mini
Monstruo,La Oscuridad Magicamente Sellada Fusion,"Puedes sustituir esta carta por cualquier Monstruo Material de Fusion. Cuando hace esto, el o los otros Monstruos Material de Fusion deben ser los correctos. Puedes Sacrificar Monstruos Material de Fusion en el Campo, incluyendo esta carta boca arriba; Invoca de Modo Especial 1 Monstruo de Fusion de OSCURIDAD correspondiente de tu Deck Extra.",#,#,Roca,Oscuridad,3,1000,1600,11/07/2017,SR,Caja Mini
Monstruo,Llama Quimerica Hipogrifo,Tu adversario no puede seleccionar a esta carta con efectos de cartas. Una vez por turno: puedes Sacrificar otro monstruo de Fuego; esta carta gana 300 ATK.,#,#,Piro,Fuego,6,2100,200,11/07/2017,R,Caja Mini
Monstruo,Ninja del Dragon Rojo,"Cuando esta carta es Invocada: puedes desterrar 1 carta ""Ninja"" o ""Ninjitsu Arte"" en tu Cementerio para seleccionar 1 carta Colocada que controle tu adversario; muestra esa carta Colocada, y despues devuelvela a la parte superior o inferior del Deck. Tu adversario no puede activar la carta seleccionada en respuesta a la activacion de este efecto. Solo puedes usar el efecto de ""Ninja del Dragon Rojo"" una vez por turno.",#,#,Bestia Alada,Fuego,6,2400,1200,11/07/2017,R,Caja Mini
Monstruo,Avatar del Rey de Fuego Yaksha,"Si un monstruo ""Reyes de Fuego"" boca arriba que controlas es destruido por el efecto de una carta (exceptodurante el Damage Step): puedes Invocar esta carta de Modo Especial desde tu mano. Si esta carta es destruida y mandada al Cementerio: puedes destruir 1 carta en tu mano o que controles. Solo puedes usar este fecto de ""Avatar del Rey de Fuego Yaksha"" una vez por turno.",#,#,Guerrero-Bestia,Fuego,4,1800,200,11/07/2017,R,Caja Mini
Monstruo,Mayordoma de Nephtys,"Puedes Sacrificar esta carta y otro monstruo en tu Campo; Invoca de Modo Especial, desde tu mano o Deck, 1 ""Feniz Sagrado de Nephtys"".",#,#,Lanzador de Conjuros,Viento,2,600,600,11/07/2017,R,Caja Mini
Monstruo,Golem de Lava,No puede ser Invocado de Modo Normal/Colocado. Debe ser primero Invocado de Modo Especial (desde tu mano) al lado del Campo de tu adversario Sacrificando 2 monstruos que este controle. El tuno en el que Invocas esta carta de Modo Especial no puedes Invocar de Modo Normal/Colocar. Durante cada una de tus Standby Phases: tu recibes 500 puntos de daño.,#,#,Demonio,Fuego,8,3000,2500,11/01/2017,UR,Gratis
Monstruo,Ninja Mestro Sasuke,"Al comienzo del Damage Step, si esta carta ataca a un monstruo en Posicion de Defensa boca arriba: destruye ese monstruo.",#,#,Guerrero,Luz,4,1800,1000,31/07/2017,SR,Caja Grande
Monstruo,Ninja del Dragon Negro,"No puede ser Invocado de Modo Especial, excepto con el efecto de un monstruo ""Ninja"" o una carta ""Ninjitsu Arte"". Una vez por turno, durante el turno de cualquier jugador: puedes mandar al Cementerio 1 monstruo ""Ninja"" y 1 carta ""Ninjitsu Arte"" en tu mano y/o boca arriba en tu Campo, y despues seleccionar 1 monstruo en el Campo; destierralo. Si esta carta boca arriba deja el Campo: Invoca de Modo Especial tantos monstruos desterrados por el efecto de esta carta como sea posible, al Campo de sus dueños.",#,#,Bestia,Oscuridad,7,2800,1600,31/07/2017,R,Caja Grande
Monstruo,Ninja Plateado Superior,"Cuando esta carta es volteada boca arriba: puedes Invocar de Modo Especial, desde tu mano y/o Cementerio, cualquier cantidad de monstruos ""Ninja"", excepto ""Ninja Plateado Superior"", en Posicion de Defensa boca abajo. Solo puede haber 1 ""Ninja Plateado Superior"" boca arriba en el Campo.",#,#,Guerrero,Tierra,6,2300,2200,31/07/2017,N,Caja Grande
Monstruo,Ninja Blanco,VOLTEO: Selecciona 1 monstruo en Posicion de Defensa en el Campo; destruye ese objetivo.,#,#,Guerrero,Luz,4,1500,800,31/07/2017,N,Caja Grande
Monstruo,Ninja de la Armadura Llameante,"Cuando esta carta es Invocada: puedes seleccionar 1 monstruo ""Ninja"" que controles; incrementa su Nivel en 1.",#,#,Guerrero,Fuego,4,1700,1000,31/07/2017,N,Caja Grande
Monstruo,Ninja de la Armadura de Aire,"Cuando esta carta es Invocada : puedes seleccionar 1 monstruo ""Ninja"" que controles; disminuye su Nivel en 1.",#,#,Guerrero,Viento,4,1400,1400,31/07/2017,N,Caja Grande
Monstruo,Cambiador A/D,"Puedes desterrar esta carta en tu Cementerio, y despues seleccionar 1 monstruo en el Campo; cambia su posicion de batalla.",#,#,Guerrero,Luz,1,100,100,11/01/2017,R,Gratis
Monstruo,Beta el Guerrero Magnetico Electronico,"Si esta carta es Invocada de Modo Normal o Especial: puedes añadir a tu mano, desde tu Deck, 1 monstruo ""Guerrero Magnetico"" de Nivel 4 o menor, excepto ""Beta el Guerrero Magnetico Electronico"". Solo puedes usar este efecto de ""Beta el Guerrero Magnetico Electronico"" una vez por turno. Durante el turno de tu adversario: puedes Sacrificar esta carta; Invoca de Modo Especial, desde tu Deck, 1 monstruo ""Guerrero Magnetico"" de Nivel 4 (este es un Efecto Rapido).",#,#,Roca,Tierra,3,1500,1500,11/01/2017,SR,Gratis
Monstruo,Mago Silencioso LV8,"No puede ser Invocado de Modo Normal/Colocado. Debe ser Invocado de Modo Especial por ""Mago Silencioso LV4"" y no puede ser Invocado de Modo Especial de otra forma. No es afectado por los efectos de las Cartas Magicas de tu adversario.",#,#,Lanzador de Conjuros,Luz,8,3500,1000,13/08/2017,UR,Caja Mini
Monstruo,Mago Silencioso LV4,"Cada vez que tu adversario roba una o mas cartas, pon 1 Contador Magico en esta carta (max 5). Esta carta gana 500 ATK por cada Contador Magico en ella. Durante la Standby Phase de tu proximo turno despues de que sea puesto el 5to contador Magico en esta carta: Puedes mandar al Cementerio esta carta boca arriba con 5 Contadores Magicos; Invoca de Modo Especial, desde tu mano o Deck, 1 ""Mago Silencioso LV8"".",#,#,Lanzador de Conjuros,Luz,4,1000,1000,13/08/2017,R,Caja Mini
Monstruo,Tigre de Llamas,"Durante tu Draw Phase, si esta carta esta en tu Cementerio y no controlas monstruos, en lugar de robar normalmente: puedes Invocar esta carta de Modo Especial y, si lo haces, destierrala cuando deje el Campo. ",#,#,Bestia,Fuego,4,1800,0,22/09/2017,SR,Caja Grande
Monstruo,Cantauro,"Una vez por turno, si esta carta batalla con un monstruo de tu adversario, durante el calculo de daño (en el trurno de cualquier jugador): puedes mandar al Cementerio 1 monstruo de Tipo Bestia, Guerrero-Bestia o Bestia Alada en tu Deck o mano y, si lo haces, hasta el final de la Battle Phase esta carta gana tanto ATK como el Nivel x 100 del monstruo mandado.",#,#,Guerrero-Bestia,Fuego,3,1500,200,22/09/2017,SR,Caja Grande
Monstruo,Craneo de Samurai,"Cuando esta carta es Invocada de Modo Normal: puedes mandar al Cementerio 1 mosntruo Zombi en tu Deck. Si esta carta boca arriba en control de su dueño deja el Campo a causa del efecto de una carta de tu adversario: puedes Invocar de Modo Especial, desde tu Deck, 1 monstruo Zombi de Nivel 4 o menor, excepto ""Craneo de Samurai"".",#,#,Zombi,Oscuridad,4,1700,0,22/09/2017,R,Caja Grande
Monstruo,Ninja Enmascarado Ebisu,"Una vez por turno, si controlas un monstruo ""Ninja"" boca arriba que no sea ""Ninja Enmascarado Ebisu"", puedes activar este efecto: devuelve a la mano tantas Cartas Magicas/de Trampa de tu adversario como el numero de monstruos ""Ninja"" que controles, y ademas, cada ""Goe Goe, el Ninja Cortes"" boca arriba que controles puede atacar a tu adversario directamente ese turno.",#,#,Guerrero,Viento,4,1200,1800,22/09/2017,R,Caja Grande
Monstruo,Ninja de la Armadura de Agua,"Cuando un monstruo de tu adversario declara un ataque directo, si tienes otro monstruo ""Ninja"" en tu Cementerio: puedes desterrar esta carta en tu Cementerio para seleccionar al monstruo atacante; niega ese ataque.",#,#,Guerrero,Agua,4,800,1600,22/09/2017,R,Caja Grande
